model_key,sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops,recurrent_latency_ms,recurrent_latency_std_ms,peak_vram_mb,absrel_delta_vs_pretrained_u14_pct,lat_speedup_vs_pretrained_u14_pct,absrel_gain_vs_same_k_pct,absrel_gain_vs_ctrl2_pct,matches_or_beats_u14,trainable_params,train_time_sec,peak_train_vram_mb
control2_uniform_ft,sampled_moderate_K12,Sampled Moderate K=12,sampled_train_dist,12,0.1338121447712183,116.02785669962566,43.266088917275454,43.773356629549475,3469.6198560000003,185.58199005126954,1.7483533238076552,1029.2880859375,2242.343142473651,9.818171704305277,5.90601835795535,0.0,False,316032,371.5472897999862,4543.35986328125
treatment1_mild_ft,uniform_K10,Uniform K=10,baseline_uniform,10,0.12289538104087112,106.59072240193684,54.0829808875014,49.1508059568928,2891.34988,147.74979553222656,3.791062148447194,1029.2880859375,2051.248330373428,28.20237196653497,0.0,-85.0279867113252,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,uniform_K12,Uniform K=12,baseline_uniform,12,0.250293917953968,217.9595933278402,86.17274429480956,54.07027295058201,3469.6198560000003,176.27650146484376,1.276507209778548,1029.2880859375,4281.323110280507,14.340086647003975,0.0,-76.00159807125159,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,uniform_K14,Uniform K=14,baseline_uniform,14,0.3671373546123505,339.10496622721354,96.27215739304245,68.7554135289407,4047.8898320000003,205.78645782470704,2.0719431127315735,1029.2880859375,6326.63389330208,0.0,0.0,-34.33410402070531,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,uniform_K16,Uniform K=16,baseline_uniform,16,0.4525187666217486,454.58897043863925,107.56340857667627,88.07125132524756,4626.159808,236.46817169189453,2.6724045142986235,1029.2880859375,7821.210975650345,-14.90949122284945,0.0,4.199765013655652,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,power_K10_g0.75,Power K=10 (gamma=0.75),power,10,0.16203930769115688,139.90396467844647,74.59943788807911,57.839674193043116,2891.34988,148.72588348388672,1.704548187919507,1029.2880859375,2736.451518137516,27.728051176927128,-31.851422176125332,-81.9221295145363,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,power_K10_g1.25,Power K=10 (gamma=1.25),power,10,0.09997097688416641,86.73197441101074,52.86729522507248,42.91776388336372,2891.34988,150.28766784667968,1.7637703740035706,1029.2880859375,1649.9632230794791,26.96911670703926,18.65359296870627,-73.37641066987084,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,cosine_endpoints_K10,Cosine Endpoints K=10,cosine,10,0.11777080359558263,102.45234406789143,59.73586773880231,42.28467024121543,2891.34988,151.39233856201173,1.3901282511053938,1029.2880859375,1961.5440747726427,26.432312328845903,4.169869853435923,-77.03399122304285,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,random_K10_s42,Random Monotonic K=10 (s42),random,10,0.15776852543155354,137.05998929341632,89.28520674423451,60.62752234701317,2891.34988,151.9890335083008,1.7109394172551295,1029.2880859375,2661.692701918828,26.142354013514318,-28.376285662912508,-84.70276546914415,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,sampled_mild_K10,Sampled Mild K=10,sampled_train_dist,10,0.12393538064012928,107.56487700144449,50.52669818150121,50.13572771246947,2891.34988,152.87760467529296,1.5041517349174311,1029.2880859375,2069.453224508132,25.710561184975006,-0.8462479146488717,-82.5684332627874,False,316032,373.4629825000011,4995.8076171875
treatment1_mild_ft,sampled_moderate_K10,Sampled Moderate K=10,sampled_train_dist,10,0.11802050856252513,102.6758581797282,51.71808823495171,45.079420201734855,2891.34988,154.98125305175782,2.2679811720667225,1029.2880859375,1965.915088464706,24.68831297743902,3.9666848640346877,-75.59752987952054,False,316032,373.4629825000011,4995.8076171875
