scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan4,subset_uniform,5pct,2,16,14,True,True,0.005832077004015446,0.005832077004015446,0.005663504358381033,0.0,0.00016857264563441277,14.475549697875977,4.001744270324707,0.9968584775924683,693.9995727539062,0.0
scan4,subset_uniform,5pct,3,24,14,True,True,0.006058375351130962,0.006058375351130962,0.00583442859351635,0.0,0.00022394675761461258,11.598827362060547,4.128576755523682,0.9993677735328674,689.1475219726562,0.0
scan4,subset_uniform,5pct,4,32,13,True,False,0.007424985058605671,0.007424985058605671,0.007096343208104372,0.0,0.0003286418505012989,11.773713111877441,4.985538482666016,0.9995317459106445,683.1306762695312,0.0
scan4,subset_uniform,5pct,5,40,14,True,True,0.00621146522462368,0.00621146522462368,0.006051379255950451,0.0,0.00016008596867322922,9.191072463989258,4.071689128875732,0.9996144771575928,674.17431640625,0.0
scan4,subset_uniform,2pct,0,0,15,True,True,0.01066682394593954,0.01066682394593954,0.010559925809502602,0.0,0.00010689813643693924,26.356449127197266,6.9692888259887695,0.9866580963134766,699.8378295898438,0.0
scan4,subset_uniform,2pct,1,8,15,True,True,0.007098090834915638,0.007098090834915638,0.007013742811977863,0.0,8.434802293777466e-05,19.331689834594727,4.772679805755615,0.9924073219299316,696.4468383789062,0.0
scan4,subset_uniform,2pct,2,16,15,True,True,0.005666876211762428,0.005666876211762428,0.005663504358381033,0.0,3.37185338139534e-06,14.408642768859863,3.870985507965088,0.9968422055244446,693.9968872070312,0.0
scan4,subset_uniform,2pct,3,24,15,True,True,0.005881069228053093,0.005881069228053093,0.00583442859351635,0.0,4.6640634536743164e-05,11.445099830627441,3.9869635105133057,0.9994072914123535,689.1448364257812,0.0
scan4,subset_uniform,2pct,4,32,14,True,False,0.007168442476540804,0.007168442476540804,0.007096343208104372,0.0,7.209926843643188e-05,11.502762794494629,4.7851738929748535,0.9995797872543335,683.1282348632812,0.0
scan4,subset_uniform,2pct,5,40,15,True,True,0.006074040196835995,0.006074040196835995,0.006051379255950451,0.0,2.2660940885543823e-05,9.09104061126709,3.9693799018859863,0.9996144771575928,674.1714477539062,0.0
scan9,subset_middle,5pct,0,24,16,False,True,0.0064375391229987144,0.0064375391229987144,0.0064375391229987144,0.0,0.0,9.535917282104492,4.200503826141357,0.9998176097869873,653.93212890625,0.0
scan9,subset_middle,5pct,1,0,16,False,True,0.008517464622855186,0.008517464622855186,0.008517464622855186,0.0,0.0,10.505579948425293,5.381802082061768,1.0,633.2905883789062,0.0
scan9,subset_middle,5pct,2,1,16,False,True,0.008016612380743027,0.008016612380743027,0.008016612380743027,0.0,0.0,11.038130760192871,5.155209064483643,0.999949038028717,643.6646118164062,0.0
scan9,subset_middle,5pct,3,2,16,False,True,0.007165900897234678,0.007165900897234678,0.007165900897234678,0.0,0.0,9.90674114227295,4.60990571975708,0.9999018907546997,639.7727661132812,0.0
scan9,subset_middle,5pct,4,3,16,False,True,0.007297448348253965,0.007297448348253965,0.007297448348253965,0.0,0.0,9.050064086914062,4.607132911682129,1.0,639.609375,0.0
scan9,subset_middle,5pct,5,4,15,True,False,0.009393270127475262,0.009393270127475262,0.009042100980877876,0.0,0.0003511691465973854,13.229363441467285,5.83344030380249,0.998559296131134,623.8108520507812,0.0
scan9,subset_middle,2pct,0,24,16,False,False,0.0064375391229987144,0.0064375391229987144,0.0064375391229987144,0.0,0.0,9.535917282104492,4.200503826141357,0.9998176097869873,653.93212890625,0.0
scan9,subset_middle,2pct,1,0,16,False,False,0.008517464622855186,0.008517464622855186,0.008517464622855186,0.0,0.0,10.505579948425293,5.381802082061768,1.0,633.2905883789062,0.0
scan9,subset_middle,2pct,2,1,16,False,False,0.008016612380743027,0.008016612380743027,0.008016612380743027,0.0,0.0,11.038130760192871,5.155209064483643,0.999949038028717,643.6646118164062,0.0
