sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops,latency_ms,latency_std_ms,peak_vram_mb,lat_gain_vs_uniform14_pct,absrel_delta_vs_uniform14_pct,absrel_gain_vs_same_k_pct,matches_uniform14_quality,improves_over_same_k,verdict_go_candidate
power_K12_g2.0,Power K=12 (gamma=2.0),power,12,0.006759783652766298,10.509428751468658,0.0,14.684241650314044,3469.6198560000003,179.08721160888672,1.8234606102527853,808.03173828125,12.698819386312838,18.32807037607776,-16.53111431449342,False,False,False
cosine_late_K12,Cosine Late-Dense K=12,cosine,12,0.006356845101496825,10.226788878440855,0.0,15.160632327844407,3469.6198560000003,181.7750457763672,2.438071369107219,808.03173828125,11.388557788029019,11.274746822987801,-9.584904081791068,False,False,False
cosine_early_K12,Cosine Early-Dense K=12,cosine,12,0.006063708977308124,9.789768306414286,0.0,13.836070994556923,3469.6198560000003,181.13585357666017,1.9917336154684584,808.03173828125,11.700150297467108,6.143483203540956,-4.531564958495022,False,False,False
cosine_endpoints_K12,Cosine Endpoints-Dense K=12,cosine,12,0.0058699803155226014,9.80394605398178,0.0,17.386047681270465,3469.6198560000003,182.1395278930664,2.030340072523772,808.03173828125,11.210880561304933,2.752318648113247,-1.1918993727060323,False,False,False
cosine_middle_K12,Cosine Middle-Dense K=12,cosine,12,0.005875379778444766,9.774947675069175,0.0,16.808586584027054,3469.6198560000003,182.33617248535157,1.798434040731588,808.03173828125,11.115020533592377,2.84683469499671,-1.2849800781457918,False,False,False
piecewise_early_K12,Piecewise Early-Dense K=12,piecewise,12,0.006685964037509015,10.455562229951223,0.0,11.236522959777119,3469.6198560000003,180.80005645751953,3.6210895308068896,808.03173828125,11.863844202153476,17.03587922352155,-15.258546660545196,False,False,False
piecewise_late_K12,Piecewise Late-Dense K=12,piecewise,12,0.006016839089958618,9.78214099407196,0.0,14.462719639077218,3469.6198560000003,179.74761657714845,1.5193141894813569,808.03173828125,12.376886106463097,5.323039293839556,-3.723580490175892,False,False,False
piecewise_middle_K12,Piecewise Middle-Dense K=12,piecewise,12,0.005837100131126741,9.779956261316936,0.0,17.380738327989995,3469.6198560000003,180.71012420654296,1.5370573856174075,808.03173828125,11.907684248659129,2.176760468587838,-0.6250817460875161,False,False,False
piecewise_endpoints_K12,Piecewise Endpoints-Dense K=12,piecewise,12,0.005840743600856514,9.799353341261545,0.0,16.711553617643123,3469.6198560000003,181.48755950927733,2.356877079818698,808.03173828125,11.528701186888668,2.2405383592339714,-0.6878910916806676,False,False,False
random_K12_s42,Random Monotonic K=12 (seed=42),random,12,0.005959800390216212,9.745006450017293,0.0,13.493711152602888,3469.6198560000003,180.3591506958008,1.2736071044373376,808.03173828125,12.078776319257882,4.324593245271507,-2.7402970625602268,False,False,False
random_K12_s123,Random Monotonic K=12 (seed=123),random,12,0.006189265695866197,10.06930425564448,0.11944405724589888,16.088744196664212,3469.6198560000003,180.40277252197265,2.144403563000953,808.03173828125,12.057511613134448,8.341317482401225,-6.6960224433519455,False,False,False
random_K12_s999,Random Monotonic K=12 (seed=999),random,12,0.0058219680019343896,9.769120542208354,0.0,14.975059556995271,3469.6198560000003,182.41702117919922,1.7368379891498062,808.03173828125,11.075608526668121,1.9118768953865397,-0.3642207529973056,False,False,False
