lr,step,train_loss,param_drift,gate_drift,k12_absrel,k12_rmse,k12_rot_deg,k12_trans_deg,k14_absrel,k14_rmse,k14_rot_deg,k14_trans_deg,delta_k12_pct,delta_k14_pct,within_5pct_calibration
3e-06,200,0.06616760045289993,0.003031022846698761,0.0072864326648414135,0.006046611121079575,9.66560968955358,0.0,13.987367920920345,0.00603526304087912,9.651891255378723,0.0,15.503885825346146,4.236817028524434,5.64554526046682,False
1e-05,0,0.0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-05,1,0.11996188759803772,0.00015955223352648318,0.0002711492998059839,0.0058090737749201555,9.742659056186676,0.0,17.498928385627316,0.005725544706607858,9.692472819487254,0.0,16.956700158876863,0.1419386920059244,0.22401481852524643,True
1e-05,5,0.06673169881105423,0.0005279454053379595,0.0010858230525627732,0.005807753609648595,9.71569195985794,0.0,14.695900611360841,0.0057479300419799985,9.67058948278427,0.0,17.253310191372268,0.11918051836063903,0.6158636816501429,True
1e-05,10,0.13269661366939545,0.0009335428476333618,0.002281732624396682,0.005844867326474438,9.694788269201915,0.0,15.731302266268978,0.005762144969776272,9.653812038898469,0.0,16.796268779419997,0.7589795119716457,0.8646919079765798,True
1e-05,25,0.05618807673454285,0.0017974841175600886,0.004576125182211399,0.005904515211780865,9.679708361625668,0.23888811449179775,16.52814364353695,0.005869279487524181,9.654599678516387,0.11944405724589888,14.215501795842254,1.787242382251024,2.74005085538816,True
1e-05,50,0.06120936572551727,0.0030500562861561775,0.007817222736775875,0.006048766826279462,9.680280673503876,0.0,16.604376290219268,0.006065948583030453,9.658389723300933,0.0,13.578748842493535,4.273978976595601,6.1826868581457735,False
1e-05,100,0.04964922368526459,0.00456208223477006,0.010604366660118103,0.006183135994554808,9.66515747308731,0.11944405724589888,15.676181409699314,0.006194283933533976,9.676214818159739,0.0,15.689345347123165,6.5903532443179,8.42916029075409,False
1e-05,200,0.06793935596942902,0.008389458991587162,0.01907726377248764,0.006903291881705324,9.833124279975893,0.0,16.971409093428605,0.007060165881800156,9.900845563411712,0.0,15.272636519716892,19.00503577272242,23.586174978626097,False
3e-05,0,0.0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
3e-05,1,0.11996188759803772,0.00047867189277894795,0.0008132812799885869,0.005817299949315687,9.727227369944256,0.0,14.85244334334269,0.005713834675649803,9.667210368315379,0.0,16.999424352837043,0.2837487436433614,0.019034091554229856,True
3e-05,5,0.061951227486133575,0.0015589898684993386,0.0032770924735814333,0.005859570729080587,9.682672560214996,0.11944405724589888,12.743344351463152,0.005784198129549624,9.627584540843964,0.11944405724589888,15.728430756024327,1.0124497379319162,1.2507261326973929,True
