seq_id,scan,subset,sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan1_subset_uniform,scan1,subset_uniform,uniform_K13,Uniform K=13,baseline,13,0.0032436982728540897,5.916817148526509,0.0,16.71388502267503,3758.754844
scan1_subset_uniform,scan1,subset_uniform,uniform_K14,Uniform K=14,baseline,14,0.0032562322448939085,5.917924284934998,0.0,17.53761914121789,4047.8898320000003
scan1_subset_uniform,scan1,subset_uniform,uniform_K16,Uniform K=16,baseline,16,0.003216166631318629,5.940981189409892,0.0,17.491902817473143,4626.159808
scan1_subset_uniform,scan1,subset_uniform,power_K8_g0.5,Power K=8 (gamma=0.5),power,8,0.004564552917145193,6.415411909421285,0.0,29.492307288716404,2313.079904
scan1_subset_uniform,scan1,subset_uniform,power_K8_g0.75,Power K=8 (gamma=0.75),power,8,0.003995353550029297,6.188855330149333,0.0,5.4076844545944125,2313.079904
scan1_subset_uniform,scan1,subset_uniform,power_K8_g1.25,Power K=8 (gamma=1.25),power,8,0.00342953127498428,6.011683225631714,0.0,6.535731559576486,2313.079904
scan1_subset_uniform,scan1,subset_uniform,power_K8_g1.5,Power K=8 (gamma=1.5),power,8,0.0032640734765057764,5.991125424702962,0.0,13.685055688988102,2313.079904
scan1_subset_uniform,scan1,subset_uniform,power_K8_g2.0,Power K=8 (gamma=2.0),power,8,0.0032640555097411075,6.043277899424235,0.0,27.16879018259485,2313.079904
scan1_subset_uniform,scan1,subset_uniform,cosine_late_K8,Cosine Late-Dense K=8,cosine,8,0.0032312379917129874,6.002757827440898,1.1944405724589888,13.89039693094368,2313.079904
scan1_subset_uniform,scan1,subset_uniform,cosine_early_K8,Cosine Early-Dense K=8,cosine,8,0.004502879339270294,6.3835145235061646,1.1944405724589888,27.240083750512298,2313.079904
scan1_subset_uniform,scan1,subset_uniform,cosine_endpoints_K8,Cosine Endpoints-Dense K=8,cosine,8,0.0037111035004879036,6.123409549395244,0.0,15.07345824816287,2313.079904
scan1_subset_uniform,scan1,subset_uniform,cosine_middle_K8,Cosine Middle-Dense K=8,cosine,8,0.003611249034292996,6.03937033812205,0.0,20.03615842186494,2313.079904
scan1_subset_uniform,scan1,subset_uniform,piecewise_early_K8,Piecewise Early-Dense K=8,piecewise,8,0.003449562704190612,6.142738421758016,0.0,7.667336339342486,2313.079904
scan1_subset_uniform,scan1,subset_uniform,piecewise_late_K8,Piecewise Late-Dense K=8,piecewise,8,0.004484491772018373,6.375734607378642,0.0,6.589716707765604,2313.079904
scan1_subset_uniform,scan1,subset_uniform,piecewise_middle_K8,Piecewise Middle-Dense K=8,piecewise,8,0.003405123328169187,5.994078040122986,0.0,6.7167455264448535,2313.079904
scan1_subset_uniform,scan1,subset_uniform,piecewise_endpoints_K8,Piecewise Endpoints-Dense K=8,piecewise,8,0.003479950207596024,6.049482981363933,0.0,20.020552409000285,2313.079904
scan1_subset_uniform,scan1,subset_uniform,random_K8_s42,Random Monotonic K=8 (seed=42),random,8,0.004193252961461742,6.2517731587092085,0.0,19.639074061965434,2313.079904
scan1_subset_uniform,scan1,subset_uniform,random_K8_s123,Random Monotonic K=8 (seed=123),random,8,0.004239993053488433,6.602369467417399,0.0,5.704542156152424,2313.079904
scan1_subset_uniform,scan1,subset_uniform,random_K8_s999,Random Monotonic K=8 (seed=999),random,8,0.0033877747676645717,6.013959328333537,0.0,16.801566891347456,2313.079904
scan1_subset_uniform,scan1,subset_uniform,power_K10_g0.5,Power K=10 (gamma=0.5),power,10,0.003924963724178572,6.176317413647969,0.0,4.785405627256218,2891.34988
scan1_subset_uniform,scan1,subset_uniform,power_K10_g0.75,Power K=10 (gamma=0.75),power,10,0.0035398085601627827,6.0237776438395185,0.0,4.6919841496316845,2891.34988
scan1_subset_uniform,scan1,subset_uniform,power_K10_g1.25,Power K=10 (gamma=1.25),power,10,0.003177627882299324,5.90212098757426,0.0,14.71708003702154,2891.34988
