rank,lora_lr,step,schedule_key,schedule_name,pretrained_absrel,uniform_control_absrel,mild_rand_absrel,diff_rand_minus_unif,gain_unif_minus_rand
4,3e-06,100,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005874748368902752,0.005882198685624947,7.450316722195337e-06,-7.450316722195337e-06
4,3e-06,100,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005844813352450728,0.00585411829330648,9.304940855751724e-06,-9.304940855751724e-06
4,3e-06,100,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005877899013770123,0.005871780465046565,-6.11854872355818e-06,6.11854872355818e-06
4,3e-06,200,power_g075,Power gamma=0.75,0.005865830151985089,0.006161313127571096,0.006195040842673431,3.3727715102334875e-05,-3.3727715102334875e-05
4,3e-06,200,power_g125,Power gamma=1.25,0.005864398604414115,0.005968309523692976,0.00596355835829551,-4.751165397465576e-06,4.751165397465576e-06
4,3e-06,200,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.00620393044470499,0.006203659511326502,-2.7093337848747845e-07,2.7093337848747845e-07
4,3e-06,200,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.006107107577069353,0.0061225086178941035,1.5401040824750654e-05,-1.5401040824750654e-05
4,3e-06,200,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.006085141414466004,0.0060791567938091855,-5.9846206568181515e-06,5.9846206568181515e-06
4,3e-06,200,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.006138173688668758,0.006146306812297553,8.133123628795147e-06,-8.133123628795147e-06
8,1e-06,0,power_g075,Power gamma=0.75,0.005865830151985089,0.005865830151985089,0.005865830151985089,0.0,0.0
8,1e-06,0,power_g125,Power gamma=1.25,0.005864398604414115,0.005864398604414115,0.005864398604414115,0.0,0.0
8,1e-06,0,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.0058699803155226014,0.0058699803155226014,0.0,0.0
8,1e-06,0,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.0058219680019343896,0.0058219680019343896,0.0,0.0
8,1e-06,0,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005811317785022159,0.005811317785022159,0.0,0.0
8,1e-06,0,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005827604238099108,0.005827604238099108,0.0,0.0
8,1e-06,25,power_g075,Power gamma=0.75,0.005865830151985089,0.00586449371961256,0.005869276627587775,4.78290797521503e-06,-4.78290797521503e-06
8,1e-06,25,power_g125,Power gamma=1.25,0.005864398604414115,0.005862451053690165,0.005870809083959709,8.35803026954466e-06,-8.35803026954466e-06
8,1e-06,25,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005877312424127012,0.005870676781826963,-6.635642300048712e-06,6.635642300048712e-06
8,1e-06,25,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005851907100683698,0.005832472214630494,-1.9434886053204363e-05,1.9434886053204363e-05
8,1e-06,25,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005816666673248013,0.005811934343849618,-4.732329398394325e-06,4.732329398394325e-06
8,1e-06,25,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005821212528583903,0.005833345057908446,1.2132529324542299e-05,-1.2132529324542299e-05
8,1e-06,50,power_g075,Power gamma=0.75,0.005865830151985089,0.005890670162625611,0.005882141366600991,-8.528796024619319e-06,8.528796024619319e-06
8,1e-06,50,power_g125,Power gamma=1.25,0.005864398604414115,0.005841026913064222,0.005836628730564068,-4.3981825001539535e-06,4.3981825001539535e-06
8,1e-06,50,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005886847669413935,0.005866695839601259,-2.015182981267554e-05,2.015182981267554e-05
8,1e-06,50,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005837535229511559,0.005842955720921357,5.420491409798174e-06,-5.420491409798174e-06
8,1e-06,50,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005826158386965594,0.005845581018365921,1.942263140032683e-05,-1.942263140032683e-05
8,1e-06,50,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005849991335223118,0.005831026522597919,-1.896481262519869e-05,1.896481262519869e-05
8,1e-06,100,power_g075,Power gamma=0.75,0.005865830151985089,0.005904666997957975,0.0058949606260284785,-9.7063719294967e-06,9.7063719294967e-06
8,1e-06,100,power_g125,Power gamma=1.25,0.005864398604414115,0.005826921578651914,0.005827570970480641,6.493918287267184e-07,-6.493918287267184e-07
8,1e-06,100,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005913999311936399,0.005882394837681204,-3.160447425519519e-05,3.160447425519519e-05
8,1e-06,100,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005853844763866315,0.0058392443228513,-1.4600441015015335e-05,1.4600441015015335e-05
8,1e-06,100,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.00584423125255853,0.005824868493558218,-1.9362759000311584e-05,1.9362759000311584e-05
8,1e-06,100,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.00585671691223979,0.0058626727550290525,5.955842789262186e-06,-5.955842789262186e-06
8,1e-06,200,power_g075,Power gamma=0.75,0.005865830151985089,0.006000556711417934,0.005989018699619918,-1.1538011798015863e-05,1.1538011798015863e-05
8,1e-06,200,power_g125,Power gamma=1.25,0.005864398604414115,0.005853987632629772,0.005862885946407914,8.89831377814173e-06,-8.89831377814173e-06
8,1e-06,200,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005987051241875937,0.005994287820067256,7.23657819131935e-06,-7.23657819131935e-06
8,1e-06,200,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005938025501867136,0.005923809957069655,-1.4215544797481147e-05,1.4215544797481147e-05
8,1e-06,200,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005893906543496996,0.005900987268735966,7.080725238970027e-06,-7.080725238970027e-06
8,1e-06,200,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005904133986526479,0.005897745990660041,-6.387995866437984e-06,6.387995866437984e-06
