scene,seq_view_idx,dtu_frame_id,K,depth_abs_rel,depth_rmse_mm,depth_mae_mm,depth_delta1,pose_rot_error_deg,pose_trans_error_deg,geom_l2_error_mm,hidden_state_delta,runtime_sec,peak_vram_mb
scan10,2,15,16,0.002966,2.7462,2.0617,1.0,0.007,0.1454,651.8992,0.066631,1.0046,2324.79
scan10,3,23,16,0.003001,2.7435,2.1024,1.0,0.0044,0.5226,659.1773,0.066622,1.0046,2324.79
scan10,4,32,16,0.003443,3.1512,2.3892,1.0,0.0034,0.611,659.6539,0.067028,1.0046,2324.79
scan10,5,40,16,0.005224,6.4287,3.4094,1.0,0.0103,0.5536,681.2843,0.068389,1.0046,2324.79
scan110,0,24,4,0.009163,8.426,6.115,1.0,0.0,0.0,656.4369,0.176524,0.5224,2119.5
scan110,1,7,4,0.026619,28.6775,16.9621,0.993155,0.0437,3.0453,660.0516,0.220337,0.5224,2119.5
scan110,2,15,4,0.014545,16.5676,9.5215,0.996203,0.0113,2.6401,658.0321,0.199547,0.5224,2119.5
scan110,3,23,4,0.010162,11.3218,6.793,0.999985,0.0128,3.1324,657.2828,0.192251,0.5224,2119.5
scan110,4,32,4,0.01159,10.3619,7.7909,0.999985,0.0234,4.0482,655.7964,0.186423,0.5224,2119.5
scan110,5,40,4,0.014587,13.1182,9.5741,0.99958,0.0465,1.8731,658.7863,0.2277,0.5224,2119.5
scan110,0,24,6,0.005083,5.3665,3.415,1.0,0.0,0.0,656.346,0.127293,0.5874,2144.66
scan110,1,7,6,0.013125,18.7125,8.53,0.995316,0.0141,1.2122,659.9702,0.151498,0.5874,2144.66
scan110,2,15,6,0.008076,11.78,5.3474,0.999107,0.0074,1.4498,657.9442,0.135265,0.5874,2144.66
scan110,3,23,6,0.006203,8.6619,4.1697,1.0,0.0039,1.6171,657.192,0.13338,0.5874,2144.66
scan110,4,32,6,0.006064,6.589,4.0982,1.0,0.009,2.991,655.7079,0.131844,0.5874,2144.66
scan110,5,40,6,0.011105,10.342,7.1284,0.999416,0.0474,0.9681,658.7027,0.150379,0.5874,2144.66
scan110,0,24,8,0.00428,4.8089,2.8923,1.0,0.0,0.0,656.3245,0.095717,0.6674,2184.48
scan110,1,7,8,0.008655,16.1029,5.7074,0.99643,0.013,0.9279,659.9528,0.106719,0.6674,2184.48
scan110,2,15,8,0.006102,10.3841,4.0961,1.0,0.0035,0.7659,657.925,0.100741,0.6674,2184.48
scan110,3,23,8,0.005557,8.2018,3.7496,1.0,0.0044,0.828,657.1705,0.098871,0.6674,2184.48
scan110,4,32,8,0.00488,5.996,3.3025,1.0,0.0061,1.8695,655.686,0.099137,0.6674,2184.48
scan110,5,40,8,0.009325,9.4945,6.0117,0.99969,0.0169,0.2149,658.6829,0.109058,0.6674,2184.48
scan110,0,24,10,0.00426,4.7945,2.8788,1.0,0.0,0.0,656.3216,0.081016,0.725,2219.59
scan110,1,7,10,0.007891,15.7597,5.2302,0.996708,0.0083,0.713,659.9517,0.087826,0.725,2219.59
scan110,2,15,10,0.006025,10.3765,4.0498,1.0,0.0034,0.9405,657.9223,0.084072,0.725,2219.59
scan110,3,23,10,0.005573,8.2074,3.7605,1.0,0.0048,0.4275,657.1677,0.082923,0.725,2219.59
scan110,4,32,10,0.004763,5.9394,3.224,1.0,0.0064,1.6644,655.6833,0.083703,0.725,2219.59
scan110,5,40,10,0.008432,9.1117,5.4384,0.99969,0.0109,0.1267,658.6801,0.087853,0.725,2219.59
scan110,0,24,12,0.004149,4.7233,2.8045,1.0,0.0,0.0,656.3231,0.072434,0.8341,2253.24
scan110,1,7,12,0.007681,15.6328,5.1015,0.996987,0.0061,0.6094,659.9536,0.076348,0.8341,2253.24
scan110,2,15,12,0.006022,10.3949,4.045,1.0,0.0038,0.9574,657.9235,0.074134,0.8341,2253.24
scan110,3,23,12,0.005472,8.1074,3.6963,1.0,0.0046,0.5764,657.1694,0.073958,0.8341,2253.24
scan110,4,32,12,0.004576,5.8368,3.0987,1.0,0.0061,1.6303,655.6854,0.074601,0.8341,2253.24
scan110,5,40,12,0.007499,8.6754,4.8629,0.99969,0.0121,0.322,658.6813,0.076901,0.8341,2253.24
scan110,0,24,14,0.004078,4.6734,2.7584,1.0,0.0,0.0,656.3224,0.067817,0.8441,2290.73
scan110,1,7,14,0.007447,15.4621,4.962,0.997265,0.0044,0.6085,659.9533,0.070209,0.8441,2290.73
scan110,2,15,14,0.005996,10.3542,4.0288,1.0,0.0041,1.0176,657.9229,0.068862,0.8441,2290.73
scan110,3,23,14,0.005386,8.0324,3.6429,1.0,0.0043,0.8623,657.1684,0.068922,0.8441,2290.73
scan110,4,32,14,0.004405,5.749,2.9856,1.0,0.006,1.5591,655.6851,0.069522,0.8441,2290.73
scan110,5,40,14,0.006755,8.3341,4.4001,0.99969,0.0146,0.5223,658.6801,0.071135,0.8441,2290.73
scan110,0,24,16,0.003981,4.6137,2.6956,1.0,0.0,0.0,656.3242,0.064464,0.8846,2326.42
scan110,1,7,16,0.007283,15.2603,4.88,0.997396,0.002,0.5389,659.9556,0.066274,0.8846,2326.42
scan110,2,15,16,0.005893,10.2525,3.9677,1.0,0.0041,0.9822,657.9248,0.065243,0.8846,2326.42
scan110,3,23,16,0.005303,7.9602,3.5905,1.0,0.0041,0.7525,657.1703,0.065402,0.8846,2326.42
scan110,4,32,16,0.00429,5.6921,2.9099,1.0,0.0061,1.6097,655.6871,0.065854,0.8846,2326.42
scan110,5,40,16,0.006409,8.1692,4.1846,0.99969,0.0157,0.5585,658.6814,0.066818,0.8846,2326.42
scan24,0,24,4,0.007795,7.104,5.2403,1.0,0.0,0.0,649.1959,0.168817,0.4619,2113.87
scan24,1,7,4,0.008918,8.323,5.8022,1.0,0.0456,2.9266,645.5325,0.228413,0.4619,2113.87
scan24,2,15,4,0.009108,8.0713,6.032,1.0,0.0273,2.6507,646.977,0.184856,0.4619,2113.87
scan24,3,23,4,0.007891,7.4263,5.2561,1.0,0.0055,1.3642,646.0321,0.180676,0.4619,2113.87
scan24,4,32,4,0.006821,6.7059,4.6089,1.0,0.0112,2.2696,649.6313,0.189764,0.4619,2113.87
scan24,5,40,4,0.011147,11.2713,6.9698,0.999818,0.0425,1.1782,647.1066,0.253499,0.4619,2113.87
scan24,0,24,6,0.006131,6.087,4.1148,1.0,0.0,0.0,649.1299,0.110957,0.4929,2147.92
scan24,1,7,6,0.007932,7.7713,5.1534,0.999991,0.0133,1.5082,645.4739,0.138389,0.4929,2147.92
scan24,2,15,6,0.00742,6.9566,4.9222,1.0,0.0101,1.8861,646.916,0.120263,0.4929,2147.92
scan24,3,23,6,0.006013,6.1125,4.0149,1.0,0.0074,1.9364,645.9679,0.116951,0.4929,2147.92
scan24,4,32,6,0.005768,5.8958,3.8742,1.0,0.011,0.157,649.5694,0.12045,0.4929,2147.92
scan24,5,40,6,0.006228,8.014,4.0261,0.99985,0.034,0.4159,647.0441,0.146688,0.4929,2147.92
scan24,0,24,8,0.005517,5.7761,3.7213,1.0,0.0,0.0,649.097,0.091156,0.5616,2182.51
scan24,1,7,8,0.007013,7.2967,4.5775,0.999991,0.0072,1.1,645.4435,0.101528,0.5616,2182.51
scan24,2,15,8,0.006369,6.283,4.2512,1.0,0.0051,1.1436,646.8829,0.095734,0.5616,2182.51
scan24,3,23,8,0.005584,5.8504,3.749,1.0,0.0081,1.9378,645.9348,0.093611,0.5616,2182.51
scan24,4,32,8,0.005268,5.6478,3.5547,1.0,0.0105,0.3178,649.5362,0.096048,0.5616,2182.51
scan24,5,40,8,0.005868,7.5697,3.7678,0.999861,0.0206,0.277,647.0109,0.106661,0.5616,2182.51
scan24,0,24,10,0.005277,5.677,3.5795,1.0,0.0,0.0,649.0784,0.078603,0.6652,2220.5
scan24,1,7,10,0.006392,7.014,4.1828,1.0,0.0055,0.7295,645.4257,0.084455,0.6652,2220.5
scan24,2,15,10,0.005688,5.945,3.8264,1.0,0.0025,0.5872,646.8643,0.081339,0.6652,2220.5
scan24,3,23,10,0.0052,5.6813,3.5136,1.0,0.0071,1.434,645.9158,0.080269,0.6652,2220.5
scan24,4,32,10,0.004997,5.4762,3.3838,1.0,0.0061,0.5713,649.5167,0.081695,0.6652,2220.5
scan24,5,40,10,0.005628,7.2061,3.6071,0.999872,0.0194,0.2907,646.9932,0.087789,0.6652,2220.5
scan24,0,24,12,0.005237,5.6501,3.5609,1.0,0.0,0.0,649.0687,0.072216,0.6957,2255.88
scan24,1,7,12,0.006322,7.0368,4.1644,1.0,0.0053,0.6465,645.4169,0.076332,0.6957,2255.88
scan24,2,15,12,0.005584,5.9363,3.7741,1.0,0.0019,0.4073,646.8547,0.073998,0.6957,2255.88
scan24,3,23,12,0.005196,5.7217,3.5199,1.0,0.0066,1.2221,645.9062,0.073562,0.6957,2255.88
scan24,4,32,12,0.004971,5.505,3.3756,1.0,0.0043,0.6941,649.5063,0.074707,0.6957,2255.88
scan24,5,40,12,0.005867,7.1976,3.76,0.999882,0.0191,0.35,646.9839,0.078121,0.6957,2255.88
scan24,0,24,14,0.00547,5.8163,3.7284,1.0,0.0,0.0,649.061,0.068534,0.7679,2291.92
scan24,1,7,14,0.00661,7.2291,4.3788,1.0,0.0064,0.5675,645.4099,0.071376,0.7679,2291.92
scan24,2,15,14,0.005667,6.0351,3.8463,1.0,0.0026,0.2617,646.847,0.069797,0.7679,2291.92
scan24,3,23,14,0.005389,5.8624,3.6538,1.0,0.0063,0.8718,645.8986,0.069589,0.7679,2291.92
scan24,4,32,14,0.005164,5.6397,3.5131,1.0,0.0033,0.7423,649.4985,0.070526,0.7679,2291.92
scan24,5,40,14,0.006448,7.4793,4.1265,0.999882,0.02,0.4064,646.9767,0.072483,0.7679,2291.92
scan24,0,24,16,0.005684,5.9289,3.8846,1.0,0.0,0.0,649.0572,0.065636,0.8973,2327.1
scan24,1,7,16,0.006955,7.4712,4.6258,1.0,0.0072,0.4906,645.4066,0.067774,0.8973,2327.1
scan24,2,15,16,0.005864,6.1515,3.9874,1.0,0.0035,0.2194,646.8435,0.066635,0.8973,2327.1
scan24,3,23,16,0.00556,5.9594,3.7778,1.0,0.0065,0.6963,645.8949,0.066453,0.8973,2327.1
scan24,4,32,16,0.005372,5.7972,3.662,1.0,0.0028,0.8419,649.4946,0.067303,0.8973,2327.1
scan24,5,40,16,0.00691,7.7572,4.4147,0.999893,0.0191,0.4793,646.973,0.068284,0.8973,2327.1
scan33,0,24,4,0.009797,9.6544,5.9834,0.999793,0.0,0.0,607.4534,0.176324,0.4862,2119.41
scan33,1,7,4,0.037515,69.78,26.8563,0.971877,0.0156,1.9877,607.272,0.213225,0.4862,2119.41
scan33,2,15,4,0.015455,14.7511,9.3728,0.99903,0.0071,2.2196,608.7788,0.200567,0.4862,2119.41
scan33,3,23,4,0.011017,9.2387,6.6584,0.999966,0.0275,4.6451,610.1778,0.192695,0.4862,2119.41
scan33,4,32,4,0.0091,7.5589,5.5577,1.0,0.0172,4.0749,607.0312,0.196531,0.4862,2119.41
scan33,5,40,4,0.012483,9.9142,7.63,1.0,0.0756,2.0007,622.4635,0.219313,0.4862,2119.41
scan33,0,24,6,0.0062,7.5117,3.8118,0.999793,0.0,0.0,607.3842,0.129078,0.575,2147.42
scan33,1,7,6,0.026555,66.95,19.9874,0.971889,0.0073,1.049,607.2101,0.143101,0.575,2147.42
scan33,2,15,6,0.008984,11.6195,5.5966,0.99903,0.0038,0.9512,608.7106,0.141068,0.575,2147.42
scan33,3,23,6,0.006565,5.9845,4.025,0.999966,0.012,1.1883,610.1093,0.136547,0.575,2147.42
scan33,4,32,6,0.005226,4.6774,3.1863,1.0,0.0098,1.1508,606.9616,0.138248,0.575,2147.42
scan33,5,40,6,0.007311,6.5166,4.4772,1.0,0.0203,0.4446,622.4011,0.153556,0.575,2147.42
scan33,0,24,8,0.004479,6.8025,2.7686,0.999793,0.0,0.0,607.355,0.099548,0.6752,2183.09
scan33,1,7,8,0.018368,65.1114,14.7994,0.971889,0.0021,0.2748,607.1807,0.107539,0.6752,2183.09
scan33,2,15,8,0.005171,10.4701,3.2777,0.99903,0.0044,0.2874,608.6819,0.103181,0.6752,2183.09
scan33,3,23,8,0.004567,4.8473,2.8139,0.999966,0.008,0.641,610.0803,0.103132,0.6752,2183.09
scan33,4,32,8,0.004366,4.1171,2.672,1.0,0.0104,0.4825,606.931,0.1044,0.6752,2183.09
scan33,5,40,8,0.004728,4.8878,2.8859,1.0,0.0047,0.4715,622.3684,0.109124,0.6752,2183.09
scan33,0,24,10,0.004186,6.6914,2.5844,0.999793,0.0,0.0,607.3492,0.084147,0.7365,2219.35
scan33,1,7,10,0.016503,64.6697,13.6348,0.971877,0.001,0.1101,607.1757,0.088598,0.7365,2219.35
scan33,2,15,10,0.004632,10.3372,2.9436,0.99903,0.0022,0.1219,608.6775,0.08636,0.7365,2219.35
scan33,3,23,10,0.004121,4.7885,2.5373,0.999966,0.0038,0.487,610.0755,0.086878,0.7365,2219.35
scan33,4,32,10,0.004158,3.9566,2.5431,1.0,0.006,0.404,606.9265,0.088126,0.7365,2219.35
scan33,5,40,10,0.004237,4.4795,2.5797,1.0,0.0069,0.2579,622.3617,0.090804,0.7365,2219.35
scan33,0,24,12,0.004095,6.6732,2.5288,0.999793,0.0,0.0,607.3536,0.074189,0.6897,2254.69
scan33,1,7,12,0.016463,64.6926,13.6107,0.971889,0.0037,0.028,607.1797,0.077308,0.6897,2254.69
scan33,2,15,12,0.004562,10.3375,2.9038,0.99903,0.002,0.2112,608.6821,0.075496,0.6897,2254.69
scan33,3,23,12,0.004043,4.7875,2.4888,0.999966,0.0048,0.0656,610.08,0.075828,0.6897,2254.69
scan33,4,32,12,0.004179,3.9426,2.5538,1.0,0.0049,0.5253,606.9313,0.076888,0.6897,2254.69
scan33,5,40,12,0.004238,4.4477,2.5777,1.0,0.0089,0.2967,622.3661,0.078651,0.6897,2254.69
scan33,0,24,14,0.004045,6.6523,2.4969,0.999793,0.0,0.0,607.355,0.06894,0.6919,2290.74
scan33,1,7,14,0.016407,64.6983,13.5709,0.971877,0.0037,0.1009,607.181,0.071153,0.6919,2290.74
scan33,2,15,14,0.004483,10.2658,2.8548,0.99903,0.0023,0.0656,608.6835,0.069736,0.6919,2290.74
scan33,3,23,14,0.003948,4.8082,2.429,0.999966,0.0048,0.3902,610.0812,0.069862,0.6919,2290.74
scan33,4,32,14,0.004054,3.8464,2.4765,1.0,0.0043,0.6735,606.9329,0.070882,0.6919,2290.74
scan33,5,40,14,0.0042,4.4179,2.554,1.0,0.0106,0.3892,622.3672,0.071735,0.6919,2290.74
scan33,0,24,16,0.00404,6.6765,2.4987,0.999793,0.0,0.0,607.3585,0.065344,0.7824,2327.36
scan33,1,7,16,0.016476,64.675,13.6171,0.971889,0.0037,0.2017,607.1846,0.066924,0.7824,2327.36
scan33,2,15,16,0.004561,10.2817,2.9038,0.99903,0.002,0.169,608.687,0.066005,0.7824,2327.36
scan33,3,23,16,0.00393,4.7874,2.4201,0.999966,0.0048,0.6113,610.0847,0.066045,0.7824,2327.36
scan33,4,32,16,0.003972,3.8069,2.4284,1.0,0.0054,0.9911,606.9368,0.066888,0.7824,2327.36
scan33,5,40,16,0.004173,4.3996,2.5372,1.0,0.0117,0.4498,622.3712,0.067445,0.7824,2327.36
