rank,lora_lr,step,target_cv,actual_cv,pretrained_absrel,uniform_control_absrel,mild_rand_absrel,diff_rand_minus_unif,gain_unif_minus_rand
4,3e-06,200,0.0,0.0,0.005800840138302494,0.006047980176905792,0.006059912887091437,1.1932710185645623e-05,-1.1932710185645623e-05
4,3e-06,200,0.2,0.20095647148470905,0.005814491868174325,0.006079346768092364,0.006102663895580918,2.3317127488553697e-05,-2.3317127488553697e-05
4,3e-06,200,0.4,0.3996253566069315,0.005823914310894907,0.0060906496752674375,0.006089018459897488,-1.6312153699495069e-06,1.6312153699495069e-06
4,3e-06,200,0.6,0.601004662459093,0.0058521409286186096,0.006110168520050744,0.006117922490617881,7.753970567137176e-06,-7.753970567137176e-06
8,1e-06,0,0.0,0.0,0.005800840138302494,0.005800840138302494,0.005800840138302494,0.0,0.0
8,1e-06,0,0.2,0.20095647148470905,0.005814491868174325,0.005814491868174325,0.005814491868174325,0.0,0.0
8,1e-06,0,0.4,0.3996253566069315,0.005823914310894907,0.005823914310894907,0.005823914310894907,0.0,0.0
8,1e-06,0,0.6,0.601004662459093,0.0058521409286186096,0.0058521409286186096,0.0058521409286186096,0.0,0.0
8,1e-06,25,0.0,0.0,0.005800840138302494,0.005800901694844166,0.0058140208905873205,1.3119195743154129e-05,-1.3119195743154129e-05
8,1e-06,25,0.2,0.20095647148470905,0.005814491868174325,0.005810797036004563,0.005807094776537269,-3.702259467294397e-06,3.702259467294397e-06
8,1e-06,25,0.4,0.3996253566069315,0.005823914310894907,0.005817267252132297,0.005827882909215988,1.0615657083690687e-05,-1.0615657083690687e-05
8,1e-06,25,0.6,0.601004662459093,0.0058521409286186096,0.005843219040737797,0.0058370418768997,-6.177163838097174e-06,6.177163838097174e-06
8,1e-06,50,0.0,0.0,0.005800840138302494,0.005801894585601986,0.0057872440782375635,-1.4650507364422777e-05,1.4650507364422777e-05
8,1e-06,50,0.2,0.20095647148470905,0.005814491868174325,0.005815287694955865,0.005833593398953477,1.8305703997611653e-05,-1.8305703997611653e-05
8,1e-06,50,0.4,0.3996253566069315,0.005823914310894907,0.00584398036201795,0.00583393982766817,-1.0040534349779924e-05,1.0040534349779924e-05
8,1e-06,50,0.6,0.601004662459093,0.0058521409286186096,0.0058571472996845845,0.00582431327784434,-3.2834021840244705e-05,3.2834021840244705e-05
8,1e-06,100,0.0,0.0,0.005800840138302494,0.005834397681367894,0.005825999887504925,-8.39779386296955e-06,8.39779386296955e-06
8,1e-06,100,0.2,0.20095647148470905,0.005814491868174325,0.005827022782371689,0.005825710444090268,-1.3123382814218126e-06,1.3123382814218126e-06
8,1e-06,100,0.4,0.3996253566069315,0.005823914310894907,0.0058386797279429935,0.005823165023078521,-1.551470486447267e-05,1.551470486447267e-05
8,1e-06,100,0.6,0.601004662459093,0.0058521409286186096,0.00589197613298893,0.005878394217385599,-1.358191560333049e-05,1.358191560333049e-05
8,1e-06,200,0.0,0.0,0.005800840138302494,0.005866552939793716,0.0058868966608618695,2.0343721068153894e-05,-2.0343721068153894e-05
8,1e-06,200,0.2,0.20095647148470905,0.005814491868174325,0.005881007822851341,0.005893830815330148,1.2822992478807478e-05,-1.2822992478807478e-05
8,1e-06,200,0.4,0.3996253566069315,0.005823914310894907,0.005909846800689896,0.005903612313947329,-6.234486742567186e-06,6.234486742567186e-06
8,1e-06,200,0.6,0.601004662459093,0.0058521409286186096,0.005951858191595723,0.005952198139857501,3.3994826177836945e-07,-3.3994826177836945e-07
