seq_id,scan,subset,sched_key,sched_name,sched_type,total_steps,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_16_a1.0,VarB: reuse_15_16 (α=1.0),variantB,16,0.0032524026852721,5.941456596056621,0.0,18.62386115735692,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_14_16_a0.5,VarB: reuse_14_16 (α=0.5),variantB,16,0.0031253530954321,5.9085062344868975,0.0,19.10217446688225,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_14_16_a0.75,VarB: reuse_14_16 (α=0.75),variantB,16,0.0031499029525245,5.90706209341685,0.0,18.1806817361658,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_14_16_a1.0,VarB: reuse_14_16 (α=1.0),variantB,16,0.0032373130864774,5.939355492591858,0.0,20.68362472791937,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_even_after_10_a0.5,VarB: reuse_even_after_10 (α=0.5),variantB,16,0.0032505705797423,5.985559582710266,0.0,4.847214534802701,4060.483788999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_even_after_10_a0.75,VarB: reuse_even_after_10 (α=0.75),variantB,16,0.0032083921832963,5.927931666374207,0.0,24.47064395953947,4060.483788999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_even_after_10_a1.0,VarB: reuse_even_after_10 (α=1.0),variantB,16,0.0035098348356162,6.019785205523173,0.0,17.30575497626773,4060.483788999999
scan1_subset_uniform,scan1,subset_uniform,varC_frozen_kv_16,VarC: Freeze K/V 16,variantC,16,0.0032545229187235,5.938143690427144,0.0,13.522241428173894,4612.330084999999
scan1_subset_uniform,scan1,subset_uniform,varC_frozen_kv_15,VarC: Freeze K/V 15,variantC,16,0.0032458328641951,5.953089396158855,0.0,16.069971998027643,4612.330085
scan1_subset_uniform,scan1,subset_uniform,varC_frozen_kv_15_16,"VarC: Freeze K/V {15,16}",variantC,16,0.0033037980319932,5.951817870140076,0.0,15.95416752803225,4598.500361999999
scan1_subset_uniform,scan1,subset_uniform,varC_frozen_kv_14_16,"VarC: Freeze K/V {14,16}",variantC,16,0.0033312938564146,5.966508428255717,0.0,18.901681769889837,4598.500362
scan1_subset_uniform,scan1,subset_uniform,varC_frozen_kv_even_after_10,"VarC: Freeze K/V {12,14,16}",variantC,16,0.0033247208921238,5.939027150472005,0.0,6.334957624208905,4584.670638999999
scan4_subset_middle,scan4,subset_middle,fixed_16,Fixed i=16,fixed,16,0.0076779428248604,19.52498769760132,0.0,17.029278221240965,4626.159807999999
scan4_subset_middle,scan4,subset_middle,fixed_15,Fixed i=15,fixed,15,0.0076617040516187,19.538897196451824,0.0,13.788872483299032,4337.024819999999
scan4_subset_middle,scan4,subset_middle,fixed_14,Fixed i=14,fixed,14,0.0076101866240302,19.60650571187337,0.0,6.196536156715781,4047.889831999999
scan4_subset_middle,scan4,subset_middle,fixed_13,Fixed i=13,fixed,13,0.0076365034716824,19.770814577738445,0.0,21.690673688839865,3758.754843999999
scan4_subset_middle,scan4,subset_middle,varA_skip_16,VarA: Skip 16,variantA,16,0.0074896194661657,19.59827041625977,0.0,7.038150340910509,4437.601134999999
