scene,subset,view_idx,frame_id,step_i,abs_rel,rmse,mae,delta1,geom_l2,rot_err_deg,trans_err_deg,hidden_delta_1step,hidden_delta_2step,depth_delta,abs_rel_16,future_gain,oracle_k_star_1pct,oracle_k_star_2pct,oracle_k_star_5pct,oracle_k_star_10pct,safe_to_halt_1pct,safe_to_halt_2pct,safe_to_halt_5pct,safe_to_halt_10pct
scan1,subset_middle,5,4,16,0.0032369771506637335,4.738245487213135,2.0633926391601562,0.999796450138092,647.46044921875,0.0,0.8917517066001892,0.06740348786115646,0.12915320694446564,0.0028357147239148617,0.0032369771506637335,0.0,12,12,12,11,1,1,1,1
scan1,subset_uniform,0,0,8,0.009752378799021244,18.254446029663086,6.746885299682617,0.9972328543663025,644.6051635742188,0.0,0.0,0.0609821081161499,0.1252468228340149,0.0,0.003913204185664654,0.00583917461335659,13,13,13,12,0,0,0,0
scan1,subset_uniform,1,8,8,0.00643025292083621,5.209193229675293,4.086225986480713,0.9999775886535645,651.0496826171875,0.0,0.0,0.06732139736413956,0.13911472260951996,0.0,0.002798883244395256,0.003631369676440954,13,13,12,12,0,0,0,0
scan1,subset_uniform,2,16,8,0.004358433187007904,4.377997875213623,2.9205965995788574,1.0,652.5935668945312,0.0,3.666288375854492,0.06914371252059937,0.14096815884113312,0.0,0.0026719924062490463,0.0016864407807588577,13,13,12,11,0,0,0,0
scan1,subset_uniform,3,24,8,0.003684020135551691,6.678746700286865,2.4179301261901855,0.9996611475944519,645.38134765625,0.0,0.0,0.06679563224315643,0.1371760219335556,0.0,0.0035596389789134264,0.00012438115663826466,9,9,8,8,0,0,1,1
scan1,subset_uniform,4,32,8,0.00350568606518209,4.725595951080322,2.247241735458374,1.0,642.3599853515625,0.0,0.0,0.06769122928380966,0.13923288881778717,0.0,0.0036821523681282997,-0.0001764663029462099,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,8,0.005434703081846237,5.027673721313477,3.424584150314331,1.0,653.5223388671875,0.0,0.0,0.07449426501989365,0.15217225253582,0.0,0.0026711286045610905,0.0027635744772851467,15,15,14,13,0,0,0,0
scan1,subset_uniform,0,0,9,0.007736586965620518,17.558725357055664,5.356143474578857,0.9972137212753296,644.60205078125,0.0,0.0,0.05681336671113968,0.11313146352767944,0.003440144704654813,0.003913204185664654,0.003823382779955864,13,13,13,12,0,0,0,0
scan1,subset_uniform,1,8,9,0.005055779125541449,4.354702472686768,3.218773603439331,0.9999775886535645,651.0474243164062,0.0,0.0,0.06207936629652977,0.12379921972751617,0.004280592314898968,0.002798883244395256,0.0022568958811461926,13,13,12,12,0,0,0,0
scan1,subset_uniform,2,16,9,0.0036981224548071623,3.6311802864074707,2.4488747119903564,1.0,652.5908813476562,0.0,0.0,0.06378079205751419,0.1268501877784729,0.00469875568524003,0.0026719924062490463,0.001026130048558116,13,13,12,11,0,0,0,0
scan1,subset_uniform,3,24,9,0.003247557207942009,6.317085266113281,2.114062547683716,0.9996611475944519,645.3779907226562,0.0,0.0,0.06234746798872948,0.12380602955818176,0.006856490392237902,0.0035596389789134264,-0.0003120817709714174,9,9,8,8,1,1,1,1
scan1,subset_uniform,4,32,9,0.003109151031821966,4.341774940490723,1.9813542366027832,1.0,642.356201171875,0.0,1.4459096193313599,0.06309562176465988,0.12568269670009613,0.007656135130673647,0.0036821523681282997,-0.0005730013363063335,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,9,0.004303888417780399,4.041283130645752,2.7088098526000977,1.0,653.5184936523438,0.0,2.0495636463165283,0.0680820569396019,0.13581646978855133,0.007683603558689356,0.0026711286045610905,0.0016327598132193089,15,15,14,13,0,0,0,0
scan1,subset_uniform,0,0,10,0.006036317441612482,17.11614990234375,4.207614898681641,0.9972137212753296,644.5992431640625,0.0,0.0,0.05546186864376068,0.1084858700633049,0.003008296014741063,0.003913204185664654,0.0021231132559478283,13,13,13,12,0,0,0,0
scan1,subset_uniform,1,8,10,0.003958648536354303,3.700409173965454,2.5320448875427246,0.9999775886535645,651.0447387695312,0.0,0.0,0.059858422726392746,0.11747491359710693,0.003378455527126789,0.002798883244395256,0.0011597652919590473,13,13,12,12,0,0,0,0
scan1,subset_uniform,2,16,10,0.0031418371945619583,3.0863561630249023,2.059617519378662,1.0,652.58837890625,0.0,3.6974525451660156,0.06110309436917305,0.12013817578554153,0.0036505169700831175,0.0026719924062490463,0.000469844788312912,13,13,12,11,0,0,0,0
scan1,subset_uniform,3,24,10,0.0030032587237656116,6.101064682006836,1.9387770891189575,0.9996446371078491,645.3750610351562,0.0,0.0,0.060143906623125076,0.1181061863899231,0.00625897292047739,0.0035596389789134264,-0.0005563802551478148,9,9,8,8,1,1,1,1
scan1,subset_uniform,4,32,10,0.0029067073483020067,4.118050575256348,1.8429008722305298,1.0,642.3529663085938,0.0,2.0492773056030273,0.06079953908920288,0.11969920247793198,0.006979524623602629,0.0036821523681282997,-0.000775445019826293,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,10,0.0035722532775253057,3.3362066745758057,2.2311079502105713,1.0,653.5172729492188,0.0,3.0071959495544434,0.06428834050893784,0.12708014249801636,0.00696965865790844,0.0026711286045610905,0.0009011246729642153,15,15,14,13,0,0,0,0
scan1,subset_uniform,0,0,11,0.004824619274586439,16.83633041381836,3.3927090167999268,0.9972233176231384,644.595703125,0.0,0.0,0.05523137003183365,0.1073552817106247,0.002989792497828603,0.003913204185664654,0.0009114150889217854,13,13,13,12,0,0,0,0
scan1,subset_uniform,1,8,11,0.0031917220912873745,3.2641053199768066,2.0542099475860596,0.9999701380729675,651.0414428710938,0.0,0.0,0.05878720432519913,0.11467691510915756,0.003191838739439845,0.002798883244395256,0.00039283884689211845,13,13,12,12,0,0,0,0
